Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
AMS,Anglo American Platinum,JSE,South Africa,South Africa,Limpopo,Producer,"Mogalakwena (open-pit flagship); Amandelbult (Tumela & Dishaba underground); Mototolo; Modikwa JV; Unki (Zimbabwe)",Primary,World's largest primary platinum producer; ~3.5 Moz 4E PGM output; Mogalakwena is world's largest open-pit PGM mine; repositioning to lean best-in-class footprint; mkt cap ~ZAR 150B
AGPPF,Anglo American Platinum,OTC,South Africa,South Africa; Zimbabwe,Limpopo; Midlands,Producer,"Mogalakwena; Amandelbult; Mototolo; Modikwa JV; Unki Zimbabwe",Primary,US OTC pink-sheet ADR for Anglo American Platinum (JSE:AMS); same company; same assets; thin liquidity vs JSE primary
IMP,Impala Platinum Holdings,JSE,South Africa,South Africa; Zimbabwe; Canada,North West; Limpopo; Mashonaland West; Ontario,Producer,"Impala Rustenburg; Impala Bafokeng; Marula; Two Rivers JV; Zimplats (Zimbabwe); Mimosa JV (Zimbabwe); Impala Canada / Lac des Iles (Ontario)",Primary,Second-largest platinum producer globally; diversified across South Africa + Zimbabwe + Canada; Zimplats is long-life low-cost Great Dyke operation; mkt cap ~ZAR 50B
IMPUY,Impala Platinum Holdings,OTC,South Africa,South Africa; Zimbabwe; Canada,Multiple,Producer,Same as JSE:IMP,Primary,US OTC ADR for Impala Platinum (JSE:IMP); same company; same assets; thin liquidity vs JSE primary
SSW,Sibanye Stillwater,JSE,South Africa,South Africa; USA; Zimbabwe,North West; Montana; Mashonaland West,Producer,"Stillwater Mine MT; East Boulder Mine MT; Marikana SA; Rustenburg SA; Kroondal SA; Mimosa Zimbabwe; Cooke tailings (uranium byproduct)",Primary,Diversified precious metals producer; largest primary platinum producer in USA (J-M Reef Montana); South African PGM + gold operations; mkt cap ~ZAR 40B
SBSW,Sibanye Stillwater,NYSE,South Africa,South Africa; USA; Zimbabwe,Multiple,Producer,Same as JSE:SSW,Primary,NYSE ADR for Sibanye Stillwater (JSE:SSW); same company; same assets; most liquid US-listed PGM equity; mkt cap ~US$2B
NPH,Northam Platinum Holdings,JSE,South Africa,South Africa,North West; Limpopo,Producer,"Booysendal (mechanised UG2 + Merensky); Zondereinde (deep conventional); Eland (Waterberg)",Primary,Growing South African PGM producer; Booysendal is flagship low-cost mechanised mine; targeting 1 Moz 4E PGM; mkt cap ~ZAR 30B
NPTLF,Northam Platinum Holdings,OTC,South Africa,South Africa,North West; Limpopo,Producer,Same as JSE:NPH,Primary,US OTC pink-sheet ADR for Northam Platinum (JSE:NPH); same company; same assets
RBP,Royal Bafokeng Platinum,JSE,South Africa,South Africa,North West,Producer,"Bafokeng Rasimone Platinum Mine (BRPM); Styldrift Mine",Primary,Community-owned platinum producer; acquired by Northam Platinum 2023 (delisted); Styldrift is modern mechanised mine; was mkt cap ~ZAR 20B pre-acquisition
GMKN,Norilsk Nickel (Nornickel),MOEX,Russia,Russia,Krasnoyarsk Territory (Taimyr Peninsula),Producer,"Taimyrsky; Oktyabrsky; Komsomolsky; Skalisty; Mayak; Zapolyarny — all Arctic Cu-Ni sulphide mines",Primary,World's largest palladium producer (~40% global supply) and major platinum producer; Arctic Norilsk complex; sanctioned entity — limited Western investor access; mkt cap ~US$25B
NILSY,Norilsk Nickel,OTC,Russia,Russia,Krasnoyarsk Territory,Producer,Same as MOEX:GMKN,Primary,US OTC ADR for Norilsk Nickel; sanctioned entity — trading suspended/restricted for most Western investors post-2022
ELR.TO,Eastern Platinum,TSX,Canada,South Africa,Unknown,Producer,"Crocodile River Mine (CRM) — restarting; Zandfontein UG2 tailings (retreatment completed Q1 2025); Mareesburg (C&M); Kennedy's Vale (C&M); Spitzkop (C&M)",Primary,TSX-listed South African PGM producer; CRM soft-restarted Oct 2023 processing UG2 ROM; chrome by-product revenue; mkt cap ~C$100M
PLG,Platinum Group Metals,NYSE,Canada,South Africa,Limpopo,Developer,Waterberg Project (Northern Limb Bushveld — Pt/Pd/Rh/Au/Cu/Ni),Primary,Developing Waterberg project ~85 km north of Mokopane; development-stage; partnered with Implats + Hanwa; mkt cap ~US$100M
PTM.TO,Platinum Group Metals,TSX,Canada,South Africa,Limpopo,Developer,Same as NYSE:PLG — Waterberg Project,Primary,Canadian primary listing of Platinum Group Metals; cross-listed on NYSE:PLG; same company; same Waterberg asset
IVN.TO,Ivanhoe Mines,TSX,Canada,South Africa; DRC; South Africa,Limpopo; Katanga; Northern Cape,Planned Producer,"Platreef Project (Limpopo — Pt/Pd/Rh/Ni/Cu/Au under construction); Kamoa-Kakula (DRC copper); Kipushi (DRC zinc)",Secondary,Platreef is world-class PGM-Ni-Cu-Au deposit on Northern Limb; under construction; phased low-cost underground design; PGMs are secondary to copper flagship; mkt cap ~C$20B
IVPAF,Ivanhoe Mines,OTC,Canada,South Africa,Limpopo,Planned Producer,Same as TSX:IVN — Platreef Project,Secondary,US OTC dual listing of Ivanhoe Mines (TSX:IVN); same company; Platreef PGM-Ni-Cu-Au under construction
GENM.TO,Generation Mining,TSX,Canada,Canada,Ontario,Developer,"Marathon PGM-Copper Project (fully permitted open-pit; Pd/Cu/Pt/Au/Ag)",Primary,Shovel-ready fully permitted Marathon project Ontario; ~488 koz Pt LOM payable; ~3.5 Moz Pd LOM; open-pit design; mkt cap ~C$100M
GENMF,Generation Mining,OTC,Canada,Canada,Ontario,Developer,Same as TSX:GENM — Marathon Project,Primary,US OTC dual listing of Generation Mining (TSX:GENM); same company; Marathon PGM-Cu project Ontario
NAM.V,New Age Metals,TSXV,Canada,Canada,Ontario,Explorer,"River Valley PGM Project (Sudbury area); Goldwright/Janes; Razor; Western Front; River Valley Extension Claims",Primary,PGM explorer near Sudbury Ontario; River Valley is flagship with PEA published; multiple claim packages; mkt cap ~C$10M
AIR.V,Clean Air Metals,TSXV,Canada,Canada,Ontario,Explorer,"Thunder Bay North Project (Pt/Pd/Ni/Cu); Escape Lake Property",Primary,Thunder Bay North PGM-Ni-Cu project ~50 km NE of Thunder Bay; emerging Ni-Cu-PGM province; mkt cap ~C$20M
NICU.V,Magna Mining,TSXV,Canada,Canada,Ontario,Developer,"McCreedy West Mine (producing Cu/Ni/Co/PGM); Levack Mine (development); Podolsky Mine (development) — all Sudbury Basin",Primary,Sudbury Basin Cu-Ni-PGM developer/producer; McCreedy West producing; 50% Au/Pt/Pd stream to Franco-Nevada on Levack + Podolsky; mkt cap ~C$100M
PGE.V,Stillwater Critical Minerals,TSXV,Canada,Canada; USA,Yukon; Montana,Explorer,"Stillwater West (Montana — Pt/Pd/Ni/Cu/Co/Cr); Kluane PGE-Ni-Cu (Yukon — Catalyst/Spy/Ultra/Outpost/Ellen properties)",Primary,Stillwater West Montana adjacent to Sibanye's J-M Reef; Kluane Yukon PGE-Ni-Cu belt; mkt cap ~C$30M
