Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State/Region,Company Type,Primary Assets,Au/Ag Role,Primary Commodity,Notes
GLD,SPDR Gold Shares,NYSE,USA,USA (trust),Global vaults,Physical ETF,Gold bullion trust; ~900t held in HSBC London vault; cash-settled redemption; largest gold ETF,Primary,Gold,AUM ~$90B; 0.40% MER; tracks XAU/USD at 1/10th oz per share; avg 48M+ shares/day; since 2004; iShares by State Street; correlation to XAU 0.998; no dividend; settled in cash not physical on large redemptions
IAU,iShares Gold Trust,NYSE,USA,USA (trust),Global vaults,Physical ETF,Lower-cost GLD alternative; 1/100th oz per share; physically backed; London/Toronto/NY vaults; BlackRock issuer,Primary,Gold,AUM ~$40B; 0.25% MER — cheaper than GLD; good for long-term holders prioritising cost; iShares by BlackRock; same physical backing as GLD; non-dividend paying; very high liquidity
GLDM,SPDR Gold MiniShares,NYSE,USA,USA (trust),Global vaults,Physical ETF,Ultra-low cost gold ETF 0.10% MER — cheapest major US gold ETF; 1/100th oz per share; physically backed; State Street issuer,Primary,Gold,AUM ~$12B; 0.10% expense ratio; ideal cost-sensitive long-term holders; launched 2018; shares = 1/100 oz gold; ICBC Standard Bank custodian; fractional ownership model
SGOL,abrdn Physical Gold Shares ETF,NYSE,USA,Switzerland,Zurich vaults,Physical ETF,Gold physically held in Zurich Switzerland — jurisdictional diversification from London/NY; 0.17% MER; abrdn issuer,Primary,Gold,AUM ~$3.5B; 0.17% MER; unique Swiss vault custody; appeals to investors seeking non-US/UK gold storage; Aberdeen Standard (abrdn) issuer; ticker formerly SGOL on NYSE Arca
PHYS,Sprott Physical Gold Trust,NYSE / TSX,Canada,Canada,Royal Canadian Mint,Physical ETF,Closed-end fund; physically redeemable for 400oz gold bars; held at Royal Canadian Mint; unique physical delivery right vs GLD,Primary,Gold,AUM ~$8B; redeemable in physical gold bars (400oz minimum) — unique vs GLD/IAU; closed-end structure; Sprott Asset Management; TSX: PHY.U; potential tax advantages vs GLD for US investors; sometimes trades at premium/discount to NAV
BAR,GraniteShares Gold Trust,NYSE,USA,USA (trust),ICBC Standard Bank London,Physical ETF,Ultra-low cost at 0.17% MER; physically backed; gold held at ICBC Standard Bank London; 1/100th oz per share,Primary,Gold,AUM ~$1.2B; 0.17% MER; GraniteShares issuer; good low-cost alternative to GLD/IAU; shares = 1/100 oz gold; ICBC Standard Bank custodian London
AAAU,Goldman Sachs Physical Gold ETF,NYSE,USA,UK,Royal Mint Wales vaults,Physical ETF,Physically backed; gold stored at The Royal Mint Wales; 0.18% MER; Goldman Sachs Asset Management issuer; Royal Mint unique custodian,Primary,Gold,AUM ~$700M; 0.18% MER; Royal Mint UK custody — unique vault location; GSAM issuer; competitive low-cost option alongside GLDM/BAR
GOLD,SPDR Gold Shares (ASX),ASX,Australia,Australia (trust),Perth Mint,Physical ETF,ASX-listed physical gold ETF backed by Perth Mint allocated gold; AUD-denominated; ASX: GOLD; most liquid gold ETF on ASX,Primary,Gold,AUM ~A$4B; Perth Mint custody (WA Govt backed); 0.40% MER; AUD denominated; for ASX investors seeking gold exposure without currency hedging; SPDR issued by State Street
GDQ,Perth Mint Gold (PMGOLD),ASX,Australia,Australia,Perth Mint,Physical ETF,ASX: PMGOLD; Perth Mint physically backed; Western Australian Government guarantee on gold; 0.15% MER; lowest cost ASX gold ETF,Primary,Gold,AUM ~A$1.5B; PMGOLD = Perth Mint Physical Gold; 0.15% MER; WA Government backed guarantee adds credit safety vs typical ETF; ideal Australian low-cost gold exposure
GDX,VanEck Gold Miners ETF,NYSE,USA,Global,Global,ETF (major miners),"56 major+mid-tier gold miners; NYSE Arca Gold Miners Index; top holdings NEM, GOLD/Barrick, AEM, WPM, KGC, GFI, EQX, AGI",Primary,Gold,"AUM ~$18B; 0.51% MER; rebalanced quarterly; NEM ~12%, Barrick ~9%, AEM ~8%, WPM ~6%, GFI ~5%; GDX +123% in 2025 vs gold +47%; operational leverage amplifies gold price; excellent liquid proxy for gold equity sector"
GDXJ,VanEck Junior Gold Miners ETF,NYSE,USA,Global,Global,ETF (junior miners),"87 junior+mid-tier gold/silver miners; MVIS Global Junior Gold Miners Index; min 50% revenue from gold/silver; includes AGI, KGC, ELD, PAAS",Primary,Gold,"AUM ~$6B; 0.52% MER; NOT all micro-caps — many $500M-$5B mkt cap; top holdings Alamos Gold, Kinross, Eldorado, Pan American; higher vol + higher upside than GDX; added Snowline Gold (SGD) in GDXJ rebalance March 2026"
RING,iShares MSCI Global Gold Miners ETF,NYSE,USA,Global,Global,ETF (major miners),"MSCI ACWI Select Gold Miners IMI Index; 50+ gold miners globally; ESG screened; includes smaller miners in AU, ZA, CA missed by GDX",Primary,Gold,"AUM ~$700M; 0.39% MER — cheaper than GDX; MSCI ESG screening; broader universe than GDX; good complement to GDX for full-universe exposure; includes SA Gold Fields, Harmony Gold"
SGDM,Sprott Gold Miners ETF,NYSE,USA,Global,Global,ETF (major miners),"Solactive Gold Miners Custom Factors Index; factor-weighted by FCF yield, revenue growth, low debt/equity; quality tilt vs market-cap weighting",Primary,Gold,"AUM ~$180M; 0.50% MER; factor-weighted: overweights AEM, underweights NEM vs GDX; quality gold miner tilt; less market-cap concentration than GDX; Sprott Asset Management issuer"
GOAU,US Global GO GOLD Precious Metal Royalty ETF,NYSE,USA,Global,Global,ETF (royalty),"~65-70% royalty/streaming companies (FNV, WPM, RGLD, OR, SAND); balance in miners; only royalty-focused gold ETF; unique structure",Primary,Gold,"AUM ~$150M; 0.60% MER; 65-70% royalty/streaming — lower vol profile than GDX; FNV ~18%, WPM ~17%, RGLD ~10%; only royalty-focused gold ETF; excellent for investors wanting miner exposure with royalty-co quality characteristics"
GBUG,Sprott Active Gold & Silver Miners ETF,NASDAQ,USA,Global,Global,ETF (active),Only actively managed gold+silver miner ETF; Sprott managed by John Hathaway + Maria Smirnova; combines GDX+SIL universe with active selection; launched Feb 2025,Primary,Gold,AUM ~$80M growing rapidly; 0.75% MER; launched Feb 2025; actively managed by Sprott's Hathaway+Smirnova; selects from GDX/GDXJ/SIL universe; potential alpha vs passive; small but gaining traction 2025
GXG,Betashares Global Gold Miners ETF,ASX,Australia,Global ex-AU,Global,ETF (major miners),ASX-listed; tracks Solactive Global Gold Miners Index ex-Australia; provides AUS investors non-AU gold miner exposure; AUD denominated; hedged to AUD,Primary,Gold,"AUD hedged; tracks non-Australian gold miners in AUD; top holdings NEM, GOLD/Barrick, AEM, KGC; complementary to domestic ASX gold stocks; 0.57% MER; Betashares issuer"
FNV,Franco-Nevada Corp.,NYSE / TSX,Canada,Global (50+ countries),"Americas, Africa, Australasia",Royalty/Streaming,"119 producing assets; Cobre Panama (halted+$5B claim), Candelaria CL (Au/Ag stream), Antamina PE (Ag stream), Antapaccay PE, Goldstrike NV; energy portfolio; 20-year dividend growth record",Primary,Gold,"~$30B mkt cap; 70% gold / 11% silver / 8% PGM rev; record $369M revenue Q2 2025 +42% YoY; Cobre Panama shut Nov 2023, $5B ICSID arbitration filed; zero debt; 21 consecutive dividend increases; CEO Paul Brink; founded 2007; $2M Goldstrike royalty → $1B+ returns — defining royalty story"
WPM,Wheaton Precious Metals Corp.,NYSE / TSX,Canada,Global (14 countries),"Americas, Europe, Australasia",Royalty/Streaming,23 operating mines + 25 development projects; Salobo/Constancia/Antamina/Penasquito silver streams; gold streams; Stillwater platinum stream; WPM projects 50% GEO growth to 1.2M by 2030,Primary,Gold,"~$30B mkt cap; 60% gold / 36% silver / 4% PGM rev; record Q2 2025 $503M rev, $415M OpCF, $1B cash, zero debt; silver streams on copper mines = low-cost silver; CEO Randy Smallwood; NOTE: classified as Gold due to 60% gold dominance; 4 dividend increases in 4 years"
RGLD,Royal Gold Inc.,NASDAQ,USA,Global,"Americas, Africa, Europe",Royalty/Streaming,"188 properties (41 producing); cornerstone: Mt Milligan BC (Au/Cu), Pueblo Viejo DO, Cortez NV, Khoemacau BW; disciplined North Americas focus; 28-yr dividend growth streak",Primary,Gold,~$12B mkt cap; record Q4 2025 revenue + record FY2025; 75% gold/25% silver revenue; 28-year dividend growth streak — remarkable consistency; CEO Bill Heissenbuttel; disciplined acquirer of long-life low-decline assets; $1B revolving credit; North American jurisdiction preference
OR,OR Royalties (Osisko Gold Royalties),NYSE / TSX,Canada,Global (mainly Americas),"Canada, USA, Latin America",Royalty/Streaming,150+ royalties/streams/offtakes; 17 producing; cornerstone: Canadian Malartic 5% NSR (world's largest open-pit Au mine); Pandion Au/Ag stream; 90% Americas-focused,Primary,Gold,~$5B mkt cap; record 2025 results; Canadian Malartic alone ~60% of revenue; CEO Sandeep Singh; C$50.8M buyback 2025; 4th consecutive 5% royalty increase; strong Quebec/Ontario focus; growing pipeline of development royalties
TFPM,Triple Flag Precious Metals Corp.,NYSE / TSX,Canada,Global,"Americas, Australia",Royalty/Streaming,Producing + dev streams; Cerro Lindo ZN/PB/CU PE silver stream; ATO gold mine AU stream; RBPlat ZA platinum stream; Mt Keith WA gold stream; Discovery Silver stream; 4 consecutive 5% dividend increases,Primary,Gold,~$4B mkt cap; record CF per share 2025; 4 consecutive 5% div increases since 2021 IPO; CEO Shaun Usmar; youngest top-5 royalty co — fastest growing pipeline; ~$94M Q2 2025 rev +50% YoY; focused on Americas+Australia; high-quality operator JV partners
